Date,Discharge_Capacity,group,static,index
2015-11-13 12:14:44,4.94495910885462E-09,45007,1,1087
2015-11-13 12:14:54,4.94495910885462E-09,45007,1,1088
2015-11-13 12:15:04,4.94495910885462E-09,45007,1,1089
2015-11-13 12:15:14,4.94495910885462E-09,45007,1,1090
2015-11-13 12:15:24,4.94495910885462E-09,45007,1,1091
2015-11-13 12:15:34,4.94495910885462E-09,45007,1,1092
2015-11-13 12:15:44,4.94495910885462E-09,45007,1,1093
2015-11-13 12:15:54,4.94495910885462E-09,45007,1,1094
2015-11-13 12:16:04,4.94495910885462E-09,45007,1,1095
2015-11-13 12:16:14,4.94495910885462E-09,45007,1,1096
2015-11-13 12:16:24,4.94495910885462E-09,45007,1,1097
2015-11-13 12:16:34,4.94495910885462E-09,45007,1,1098
2015-11-13 12:16:44,4.94495910885462E-09,45007,1,1099
2015-11-13 12:16:54,4.94495910885462E-09,45007,1,1100
2015-11-13 12:17:04,4.94495910885462E-09,45007,1,1101
2015-11-13 12:17:14,4.94495910885462E-09,45007,1,1102
2015-11-13 12:17:24,4.94495910885462E-09,45007,1,1103
2015-11-13 12:17:34,0.217334628105164,45007,1,1104
2015-11-13 12:17:44,0.434652805328369,45007,1,1105
2015-11-13 12:17:54,0.651983976364136,45007,1,1106
2015-11-13 12:18:04,0.869308948516846,45007,1,1107
2015-11-13 12:18:14,1.08664977550507,45007,1,1108
2015-11-13 12:18:24,1.30398261547089,45007,1,1109
2015-11-13 12:18:34,1.30812084674835,45007,1,1110
2015-11-13 12:18:44,1.308274269104,45007,1,1111
2015-11-13 12:18:54,1.308274269104,45007,1,1112
2015-11-13 12:19:04,1.308274269104,45007,1,1113
2015-11-13 12:19:14,3.21626569821376E-09,45007,1,1114
2015-11-13 12:19:24,3.21626569821376E-09,45007,1,1115
2015-11-13 12:19:34,3.21626569821376E-09,45007,1,1116
2015-11-13 12:19:44,3.21626569821376E-09,45007,1,1117
2015-11-13 12:19:54,3.21626569821376E-09,45007,1,1118
2015-11-13 12:20:04,3.21626569821376E-09,45007,1,1119
2015-11-13 12:20:14,3.21626569821376E-09,45007,1,1120
2015-11-13 12:20:24,3.21626569821376E-09,45007,1,1121
